Date,Team,Acquired,Relinquished,Notes
2025-01-13,Bucks,,Khris Middleton,placed on IL with ankle injury
2025-01-13,Bulls,,Adama Sanogo,placed on IL with right knee injury
2025-01-13,Knicks,,Jericho Sims,placed on IL with lower back spasms
2025-01-13,Lakers,,Bronny James,placed on IL with illness
2025-01-13,Raptors,,Immanuel Quickley,placed on IL with sore left hip
2025-01-13,Thunder,Alex Caruso,,activated from IL
2025-01-13,Timberwolves,Rob Dillingham,,activated from IL
2025-01-14,Kings,,Malik Monk,placed on IL with sore right groin
2025-01-14,Mavericks,Kyrie Irving,,activated from IL
2025-01-14,Nets,,Nicolas Claxton / Nic Claxton,placed on IL with tightness in right hamstring
2025-01-14,Nets,Cameron Johnson,,activated from IL
2025-01-14,Nets,D'Angelo Russell,,activated from IL
2025-01-15,76ers,,Caleb Martin,placed on IL with sore right groin
2025-01-15,Bucks,Khris Middleton,,activated from IL
2025-01-15,Bulls,Ayo Dosunmu,,activated from IL
2025-01-15,Hawks,,De'Andre Hunter,placed on IL with sore left foot
2025-01-15,Hawks,,Trae Young,placed on IL with bruised right rib
2025-01-15,Hornets,DaQuan Jeffries,,activated from IL
2025-01-15,Jazz,Keyonte George,,activated from IL
2025-01-15,Knicks,,Karl-Anthony Towns,placed on IL with thumb injury
2025-01-15,Knicks,Jericho Sims,,activated from IL
2025-01-15,Magic,,Goga Bitadze,placed on IL with concussion protocol
2025-01-15,Mavericks,,Dereck Lively II,placed on IL with sprained right ankle
2025-01-15,Mavericks,,Kyrie Irving,placed on IL with back injury
2025-01-15,Nets,,Ben Simmons,placed on IL with lower back injury
2025-01-15,Nets,Nicolas Claxton / Nic Claxton,,activated from IL
2025-01-15,Nuggets,,Aaron Gordon,placed on IL with right calf injury
2025-01-15,Nuggets,,Nikola Jokic,placed on IL with right elbow inflammation
2025-01-15,Thunder,,Isaiah Hartenstein,placed on IL with strained soleus muscle in left calf
2025-01-15,Warriors,,Draymond Green,placed on IL with illness
2025-01-15,Warriors,,Kyle Anderson,placed on IL with hamstring injury
2025-01-15,Warriors,Gary Payton II,,activated from IL
2025-01-15,Wizards,Tristan Vukcevic,,activated from IL
2025-01-16,Blazers,Robert Williams III,,activated from IL
2025-01-16,Cavaliers,Ty Jerome,,activated from IL
2025-01-16,Clippers,,Kawhi Leonard,placed on IL with right knee injury
2025-01-16,Jazz,,Micah Potter,placed on IL with illness
2025-01-16,Kings,Malik Monk,,activated from IL
2025-01-16,Lakers,Bronny James,,activated from IL
2025-01-16,Nets,Ben Simmons,,activated from IL
2025-01-16,Pacers,Aaron Nesmith,,activated from IL
2025-01-16,Raptors,,Ochai Agbaji,placed on IL with laceration on right hand
2025-01-16,Rockets,Tari Eason,,activated from IL
2025-01-16,Suns,,Bradley Beal,placed on IL with sprained left ankle
2025-01-16,Timberwolves,,Donte DiVincenzo,placed on IL with sprained left big toe
2025-01-16,Timberwolves,,Leonard Miller,placed on IL with illness
2025-01-17,76ers,,Joel Embiid,placed on IL with various injuries
2025-01-17,Bucks,,MarJon Beauchamp,placed on IL with illness
2025-01-17,Bucks,Gary Trent Jr.,,activated from IL
2025-01-17,Bulls,,Talen Horton-Tucker,placed on IL with knee injury
2025-01-17,Grizzlies,,Ja Morant,placed on IL with sore right foot
2025-01-17,Hawks,De'Andre Hunter,,activated from IL
2025-01-17,Hawks,Trae Young,,activated from IL
2025-01-17,Hornets,,Brandon Miller,placed on IL with torn ligament in right wrist (out for season)
2025-01-17,Mavericks,Kyrie Irving,,activated from IL
2025-01-17,Nuggets,Aaron Gordon,,activated from IL
2025-01-17,Nuggets,Nikola Jokic,,activated from IL
2025-01-17,Pelicans,,Yves Missi,placed on IL with illness
2025-01-18,76ers,Andre Drummond,,activated from IL
2025-01-18,Blazers,,Deandre Ayton,placed on IL with sore lower back
2025-01-18,Blazers,,Deni Avdija,placed on IL with sprained right ankle
2025-01-18,Blazers,Jerami Grant,,activated from IL
2025-01-18,Cavaliers,,Evan Mobley,placed on IL with strained right calf
2025-01-18,Cavaliers,,Isaac Okoro,placed on IL with sprained right shoulder
2025-01-18,Clippers,Kawhi Leonard,,activated from IL
2025-01-18,Hawks,,Zaccharie Risacher,placed on IL with left adductor injury
2025-01-18,Hawks,Jalen Johnson,,activated from IL
2025-01-18,Kings,,Devin Carter,placed on IL with sore right wrist
2025-01-18,Timberwolves,Leonard Miller,,activated from IL
2025-01-18,Warriors,Draymond Green,,activated from IL
2025-01-19,Blazers,,Anfernee Simons,placed on IL with strained right elbow
2025-01-19,Blazers,,Robert Williams III,placed on IL with sore left ankle
2025-01-19,Blazers,Deandre Ayton,,activated from IL
