slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,game_score,game_date
maxeyty01,Tyrese Maxey,Team.PHILADELPHIA_76ERS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,2429,13,22,3,11,4,5,1,3,13,2,0,3,4,18.0,30.5,2025-02-04
irvinky01,Kyrie Irving,Team.DALLAS_MAVERICKS,Location.AWAY,Team.PHILADELPHIA_76ERS,Outcome.LOSS,2511,11,21,2,8,10,11,3,6,4,1,1,3,2,-8.0,27.9,2025-02-04
townska01,Karl-Anthony Towns,Team.NEW_YORK_KNICKS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.WIN,2328,10,19,2,3,5,5,9,11,2,0,1,2,1,13.0,27.0,2025-02-04
jamesle01,LeBron James,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,1861,8,13,2,4,8,11,0,8,9,3,0,3,4,19.0,26.0,2025-02-04
embiijo01,Joel Embiid,Team.PHILADELPHIA_76ERS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,2161,12,23,1,4,4,9,4,7,10,1,0,5,2,-12.0,22.8,2025-02-04
dosunay01,Ayo Dosunmu,Team.CHICAGO_BULLS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,1727,8,11,2,2,3,3,0,2,9,1,1,1,4,3.0,22.5,2025-02-04
mitchdo01,Donovan Mitchell,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.BOSTON_CELTICS,Outcome.LOSS,2169,12,25,4,14,3,3,1,9,6,2,0,5,2,-5.0,22.1,2025-02-04
giddejo01,Josh Giddey,Team.CHICAGO_BULLS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,1788,8,14,2,5,6,8,1,4,7,1,0,2,2,7.0,21.6,2025-02-04
brunsja01,Jalen Brunson,Team.NEW_YORK_KNICKS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.WIN,2037,10,21,2,7,6,8,0,1,5,2,1,1,2,1.0,21.2,2025-02-04
buzelma01,Matas Buzelis,Team.CHICAGO_BULLS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,1862,10,10,4,4,0,0,0,2,0,0,2,1,4,1.0,20.4,2025-02-04
yabusgu01,Guerschon Yabusele,Team.PHILADELPHIA_76ERS,Location.HOME,Team.DALLAS_MAVERICKS,Outcome.WIN,2103,7,8,0,1,5,5,2,6,4,0,0,1,2,7.0,20.4,2025-02-04
reaveau01,Austin Reaves,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,1789,7,13,3,7,3,3,2,4,9,0,1,3,0,9.0,20.3,2025-02-04
allenja01,Jarrett Allen,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.BOSTON_CELTICS,Outcome.LOSS,1951,6,11,0,0,5,5,6,12,2,0,1,1,2,8.0,19.8,2025-02-04
marshna01,Naji Marshall,Team.DALLAS_MAVERICKS,Location.AWAY,Team.PHILADELPHIA_76ERS,Outcome.LOSS,1533,6,13,0,3,7,9,1,3,5,3,0,0,1,-8.0,19.2,2025-02-04
sengual01,Alperen Şengün,Team.HOUSTON_ROCKETS,Location.AWAY,Team.BROOKLYN_NETS,Outcome.LOSS,2071,8,18,0,0,8,14,7,13,4,0,0,3,5,8.0,18.8,2025-02-04
whitede01,Derrick White,Team.BOSTON_CELTICS,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.WIN,2107,7,14,6,12,0,2,2,3,2,2,1,0,0,-11.0,18.6,2025-02-04
johnske07,Keon Johnson,Team.BROOKLYN_NETS,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.WIN,1748,7,16,3,6,5,6,2,2,2,2,1,0,3,-3.0,18.1,2025-02-04
wareke01,Kel'el Ware,Team.MIAMI_HEAT,Location.AWAY,Team.CHICAGO_BULLS,Outcome.LOSS,1842,8,12,1,2,0,0,4,8,1,1,0,0,2,-11.0,17.9,2025-02-04
simonan01,Anfernee Simons,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,1930,8,16,4,9,2,2,1,2,7,0,0,2,1,7.0,17.8,2025-02-04
whiteco01,Coby White,Team.CHICAGO_BULLS,Location.HOME,Team.MIAMI_HEAT,Outcome.WIN,1903,7,16,4,7,4,4,0,3,7,0,0,2,0,11.0,17.4,2025-02-04
achiupr01,Precious Achiuwa,Team.NEW_YORK_KNICKS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.WIN,2180,7,11,1,3,2,2,6,2,2,3,2,3,6,-14.0,17.3,2025-02-04
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.AWAY,Team.CLEVELAND_CAVALIERS,Outcome.WIN,2098,7,23,3,11,5,6,0,4,7,2,2,1,0,1.0,16.8,2025-02-04
adebaba01,Bam Adebayo,Team.MIAMI_HEAT,Location.AWAY,Team.CHICAGO_BULLS,Outcome.LOSS,2123,10,17,1,4,2,5,2,6,4,0,0,3,1,-9.0,16.5,2025-02-04
hachiru01,Rui Hachimura,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,Outcome.WIN,2036,7,14,4,8,2,2,2,4,2,0,0,0,3,15.0,15.8,2025-02-04
hendesc01,Scoot Henderson,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,1671,7,13,3,5,0,0,3,5,5,1,0,2,3,31.0,15.6,2025-02-04
herroty01,Tyler Herro,Team.MIAMI_HEAT,Location.AWAY,Team.CHICAGO_BULLS,Outcome.LOSS,2182,5,15,3,11,10,11,0,8,9,0,0,6,3,-1.0,15.6,2025-02-04
jovicni01,Nikola Jović,Team.MIAMI_HEAT,Location.AWAY,Team.CHICAGO_BULLS,Outcome.LOSS,2151,7,10,5,7,1,2,0,2,2,0,0,2,1,-5.0,15.0,2025-02-04
chrisma02,Max Christie,Team.DALLAS_MAVERICKS,Location.AWAY,Team.PHILADELPHIA_76ERS,Outcome.LOSS,1910,5,8,4,4,1,2,2,7,3,1,0,2,2,1.0,14.8,2025-02-04
jaqueja01,Jaime Jaquez Jr.,Team.MIAMI_HEAT,Location.AWAY,Team.CHICAGO_BULLS,Outcome.LOSS,1340,4,8,0,0,6,6,2,2,5,0,1,1,2,-6.0,14.4,2025-02-04
sheadja01,Jamal Shead,Team.TORONTO_RAPTORS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.LOSS,1384,7,12,1,4,1,1,1,2,9,0,0,2,4,10.0,14.4,2025-02-04
powelno01,Norman Powell,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,1837,7,15,3,8,3,4,0,2,3,0,1,1,0,-13.0,14.3,2025-02-04
jonesde02,Derrick Jones Jr.,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,1342,6,10,3,7,2,2,1,1,2,0,0,0,2,0.0,14.0,2025-02-04
sheppre01,Reed Sheppard,Team.HOUSTON_ROCKETS,Location.AWAY,Team.BROOKLYN_NETS,Outcome.LOSS,1676,5,14,3,9,3,3,2,5,0,2,2,0,2,3.0,13.7,2025-02-04
mccontj01,T.J. McConnell,Team.INDIANA_PACERS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,1105,7,11,0,1,0,0,1,3,4,2,0,2,0,2.0,13.5,2025-02-04
garlada01,Darius Garland,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.BOSTON_CELTICS,Outcome.LOSS,2041,8,20,3,8,6,8,0,1,3,2,0,3,4,6.0,13.2,2025-02-04
grantje01,Jerami Grant,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,1908,6,14,3,6,5,5,0,2,1,1,0,1,2,12.0,13.1,2025-02-04
barnesc01,Scottie Barnes,Team.TORONTO_RAPTORS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.LOSS,1908,8,23,1,5,6,6,0,3,5,1,1,3,1,-18.0,12.8,2025-02-04
hartjo01,Josh Hart,Team.NEW_YORK_KNICKS,Location.AWAY,Team.TORONTO_RAPTORS,Outcome.WIN,2200,7,17,1,4,0,0,1,6,6,1,0,0,2,3.0,12.8,2025-02-04
camarto01,Toumani Camara,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.INDIANA_PACERS,Outcome.WIN,2130,5,7,1,2,2,2,4,3,2,1,1,3,3,33.0,12.7,2025-02-04
nembhan01,Andrew Nembhard,Team.INDIANA_PACERS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,1633,6,10,0,1,5,6,0,6,2,2,1,4,4,-24.0,12.3,2025-02-04
