game_id,game_date,home,away,home_pts,away_pts,winner
0022000001,2020-12-22,BRK,GSW,125,99,BRK
0022000002,2020-12-22,LAL,LAC,109,116,LAC
0022000003,2020-12-23,BOS,MIL,122,121,BOS
0022000004,2020-12-23,PHO,DAL,106,102,PHO
0022000010,2020-12-23,CLE,CHO,121,114,CLE
0022000011,2020-12-23,IND,NYK,121,107,IND
0022000012,2020-12-23,ORL,MIA,113,107,ORL
0022000013,2020-12-23,PHI,WAS,113,107,PHI
0022000014,2020-12-23,TOR,NOP,99,113,NOP
0022000015,2020-12-23,CHI,ATL,104,124,ATL
0022000017,2020-12-23,MEM,SAS,119,131,SAS
0022000018,2020-12-23,MIN,DET,111,101,MIN
0022000019,2020-12-23,DEN,SAC,122,124,SAC
0022000020,2020-12-23,POR,UTA,100,120,UTA
0022000005,2020-12-25,MIA,NOP,111,98,MIA
0022000006,2020-12-25,MIL,GSW,138,99,MIL
0022000007,2020-12-25,BOS,BRK,95,123,BRK
0022000008,2020-12-25,LAL,DAL,138,115,LAL
0022000009,2020-12-25,DEN,LAC,108,121,LAC
0022000021,2020-12-26,MEM,ATL,112,122,ATL
0022000022,2020-12-26,CHO,OKC,107,109,OKC
0022000023,2020-12-26,DET,CLE,119,128,CLE
0022000024,2020-12-26,WAS,ORL,120,130,ORL
0022000025,2020-12-26,NYK,PHI,89,109,PHI
0022000026,2020-12-26,CHI,IND,106,125,IND
0022000027,2020-12-26,SAS,TOR,119,114,SAS
0022000028,2020-12-26,UTA,MIN,111,116,MIN
0022000029,2020-12-26,POR,HOU,128,126,POR
0022000030,2020-12-26,SAC,PHO,106,103,SAC
0022000031,2020-12-27,LAC,DAL,73,124,DAL
0022000032,2020-12-27,CHO,BRK,106,104,CHO
0022000033,2020-12-27,WAS,ORL,113,120,ORL
0022000034,2020-12-27,NOP,SAS,98,95,NOP
0022000035,2020-12-27,CLE,PHI,118,94,CLE
0022000036,2020-12-27,NYK,MIL,130,110,NYK
0022000037,2020-12-27,IND,BOS,108,107,IND
0022000038,2020-12-27,CHI,GSW,128,129,GSW
0022000039,2020-12-27,SAC,PHO,100,116,PHO
0022000040,2020-12-27,LAL,MIN,127,91,LAL
0022000041,2020-12-28,ATL,DET,128,120,ATL
0022000042,2020-12-28,BRK,MEM,111,116,MEM
0022000043,2020-12-28,OKC,UTA,109,110,UTA
0022000044,2020-12-28,DEN,HOU,124,111,DEN
0022000045,2020-12-28,LAL,POR,107,115,POR
0022000046,2020-12-29,CLE,NYK,86,95,NYK
0022000047,2020-12-29,DET,GSW,106,116,GSW
0022000048,2020-12-29,IND,BOS,111,116,BOS
0022000049,2020-12-29,PHI,TOR,100,93,PHI
0022000050,2020-12-29,WAS,CHI,107,115,CHI
0022000051,2020-12-29,MIA,MIL,97,144,MIL
0022000052,2020-12-29,OKC,ORL,107,118,ORL
0022000053,2020-12-29,PHO,NOP,111,86,PHO
0022000054,2020-12-29,LAC,MIN,124,101,LAC
0022000055,2020-12-29,SAC,DEN,125,115,SAC
0022000056,2020-12-30,BOS,MEM,126,107,BOS
0022000057,2020-12-30,BRK,ATL,145,141,BRK
0022000058,2020-12-30,MIA,MIL,119,108,MIA
0022000059,2020-12-30,DAL,CHO,99,118,CHO
0022000060,2020-12-30,SAS,LAL,107,121,LAL
0022000061,2020-12-30,LAC,POR,128,105,LAC
0022000062,2020-12-31,IND,CLE,119,99,IND
0022000063,2020-12-31,WAS,CHI,130,133,CHI
0022000064,2020-12-31,ORL,PHI,92,116,PHI
0022000065,2020-12-31,HOU,SAC,122,119,HOU
0022000066,2020-12-31,TOR,NYK,100,83,TOR
0022000067,2020-12-31,OKC,NOP,80,113,NOP
0022000068,2020-12-31,UTA,PHO,95,106,PHO
0022000069,2021-01-01,CHO,MEM,93,108,MEM
0022000070,2021-01-01,DET,BOS,96,93,DET
0022000071,2021-01-01,DAL,MIA,93,83,DAL
0022000072,2021-01-01,BRK,ATL,96,114,ATL
0022000073,2021-01-01,MIL,CHI,126,96,MIL
0022000074,2021-01-01,MIN,WAS,109,130,WAS
0022000075,2021-01-01,SAS,LAL,103,109,LAL
0022000076,2021-01-01,DEN,PHO,103,106,PHO
0022000077,2021-01-01,UTA,LAC,106,100,UTA
0022000078,2021-01-01,GSW,POR,98,123,POR
0022000079,2021-01-02,HOU,SAC,102,94,HOU
0022000080,2021-01-02,IND,NYK,102,106,NYK
0022000081,2021-01-02,ORL,OKC,99,108,OKC
0022000082,2021-01-02,PHI,CHO,127,112,PHI
0022000083,2021-01-02,ATL,CLE,91,96,CLE
0022000084,2021-01-02,NOP,TOR,120,116,NOP
0022000085,2021-01-03,DET,BOS,120,122,BOS
0022000086,2021-01-03,BRK,WAS,122,123,WAS
0022000087,2021-01-03,MEM,LAL,94,108,LAL
0022000088,2021-01-03,MIN,DEN,109,124,DEN
0022000089,2021-01-03,SAS,UTA,109,130,UTA
0022000090,2021-01-03,CHI,DAL,118,108,CHI
0022000091,2021-01-03,PHO,LAC,107,112,LAC
0022000092,2021-01-03,GSW,POR,137,122,GSW
0022000093,2021-01-04,ORL,CLE,103,83,ORL
0022000094,2021-01-04,PHI,CHO,118,101,PHI
0022000095,2021-01-04,ATL,NYK,108,113,NYK
0022000096,2021-01-04,MIA,OKC,118,90,MIA
0022000097,2021-01-04,TOR,BOS,114,126,BOS
0022000098,2021-01-04,HOU,DAL,100,113,DAL
0022000099,2021-01-04,MIL,DET,125,115,MIL
0022000100,2021-01-04,NOP,IND,116,118,IND
0022000101,2021-01-04,GSW,SAC,137,106,GSW
0022000102,2021-01-05,BRK,UTA,130,96,BRK
0022000103,2021-01-05,MEM,LAL,92,94,LAL
