game_id,game_date,home,away,home_pts,away_pts,winner,playoffs
HOU-OKC-2025-10-21,2025-10-21,OKC,HOU,125,124,OKC,0
GSW-LAL-2025-10-21,2025-10-21,LAL,GSW,109,119,GSW,0
BRK-CHO-2025-10-22,2025-10-22,CHO,BRK,136,117,CHO,0
CLE-NYK-2025-10-22,2025-10-22,NYK,CLE,119,111,NYK,0
MIA-ORL-2025-10-22,2025-10-22,ORL,MIA,125,121,ORL,0
PHI-BOS-2025-10-22,2025-10-22,BOS,PHI,116,117,PHI,0
TOR-ATL-2025-10-22,2025-10-22,ATL,TOR,118,138,TOR,0
NOP-MEM-2025-10-22,2025-10-22,MEM,NOP,128,122,MEM,0
DET-CHI-2025-10-22,2025-10-22,CHI,DET,115,111,CHI,0
WAS-MIL-2025-10-22,2025-10-22,MIL,WAS,133,120,MIL,0
LAC-UTA-2025-10-22,2025-10-22,UTA,LAC,129,108,UTA,0
SAS-DAL-2025-10-22,2025-10-22,DAL,SAS,92,125,SAS,0
SAC-PHO-2025-10-22,2025-10-22,PHO,SAC,120,116,PHO,0
MIN-POR-2025-10-22,2025-10-22,POR,MIN,114,118,MIN,0
OKC-IND-2025-10-23,2025-10-23,IND,OKC,135,141,OKC,0
DEN-GSW-2025-10-23,2025-10-23,GSW,DEN,137,131,GSW,0
MIL-TOR-2025-10-24,2025-10-24,TOR,MIL,116,122,MIL,0
ATL-ORL-2025-10-24,2025-10-24,ORL,ATL,107,111,ATL,0
BOS-NYK-2025-10-24,2025-10-24,NYK,BOS,105,95,NYK,0
CLE-BRK-2025-10-24,2025-10-24,BRK,CLE,124,131,CLE,0
MIA-MEM-2025-10-24,2025-10-24,MEM,MIA,114,146,MIA,0
SAS-NOP-2025-10-24,2025-10-24,NOP,SAS,116,120,SAS,0
DET-HOU-2025-10-24,2025-10-24,HOU,DET,111,115,DET,0
WAS-DAL-2025-10-24,2025-10-24,DAL,WAS,107,117,WAS,0
MIN-LAL-2025-10-24,2025-10-24,LAL,MIN,128,110,LAL,0
GSW-POR-2025-10-24,2025-10-24,POR,GSW,139,119,POR,0
UTA-SAC-2025-10-24,2025-10-24,SAC,UTA,105,104,SAC,0
PHO-LAC-2025-10-24,2025-10-24,LAC,PHO,129,102,LAC,0
CHI-ORL-2025-10-25,2025-10-25,ORL,CHI,98,110,CHI,0
OKC-ATL-2025-10-25,2025-10-25,ATL,OKC,100,117,OKC,0
CHO-PHI-2025-10-25,2025-10-25,PHI,CHO,125,121,PHI,0
IND-MEM-2025-10-25,2025-10-25,MEM,IND,128,103,MEM,0
PHO-DEN-2025-10-25,2025-10-25,DEN,PHO,133,111,DEN,0
BRK-SAS-2025-10-26,2025-10-26,SAS,BRK,118,107,SAS,0
BOS-DET-2025-10-26,2025-10-26,DET,BOS,119,113,DET,0
MIL-CLE-2025-10-26,2025-10-26,CLE,MIL,118,113,CLE,0
NYK-MIA-2025-10-26,2025-10-26,MIA,NYK,115,107,MIA,0
CHO-WAS-2025-10-26,2025-10-26,WAS,CHO,113,139,CHO,0
IND-MIN-2025-10-26,2025-10-26,MIN,IND,114,110,MIN,0
TOR-DAL-2025-10-26,2025-10-26,DAL,TOR,139,129,DAL,0
LAL-SAC-2025-10-26,2025-10-26,SAC,LAL,120,127,LAL,0
POR-LAC-2025-10-26,2025-10-26,LAC,POR,114,107,LAC,0
CLE-DET-2025-10-27,2025-10-27,DET,CLE,95,116,CLE,0
ORL-PHI-2025-10-27,2025-10-27,PHI,ORL,136,124,PHI,0
TOR-SAS-2025-10-27,2025-10-27,SAS,TOR,121,103,SAS,0
BRK-HOU-2025-10-27,2025-10-27,HOU,BRK,137,109,HOU,0
ATL-CHI-2025-10-27,2025-10-27,CHI,ATL,128,123,CHI,0
BOS-NOP-2025-10-27,2025-10-27,NOP,BOS,90,122,BOS,0
OKC-DAL-2025-10-27,2025-10-27,DAL,OKC,94,101,OKC,0
PHO-UTA-2025-10-27,2025-10-27,UTA,PHO,138,134,UTA,0
DEN-MIN-2025-10-27,2025-10-27,MIN,DEN,114,127,DEN,0
MEM-GSW-2025-10-27,2025-10-27,GSW,MEM,131,118,GSW,0
POR-LAL-2025-10-27,2025-10-27,LAL,POR,108,122,POR,0
PHI-WAS-2025-10-28,2025-10-28,WAS,PHI,134,139,PHI,0
CHO-MIA-2025-10-28,2025-10-28,MIA,CHO,144,117,MIA,0
SAC-OKC-2025-10-28,2025-10-28,OKC,SAC,107,101,OKC,0
NYK-MIL-2025-10-28,2025-10-28,MIL,NYK,121,111,MIL,0
LAC-GSW-2025-10-28,2025-10-28,GSW,LAC,98,79,GSW,0
HOU-TOR-2025-10-29,2025-10-29,TOR,HOU,121,139,HOU,0
CLE-BOS-2025-10-29,2025-10-29,BOS,CLE,125,105,BOS,0
ORL-DET-2025-10-29,2025-10-29,DET,ORL,135,116,DET,0
ATL-BRK-2025-10-29,2025-10-29,BRK,ATL,112,117,ATL,0
SAC-CHI-2025-10-29,2025-10-29,CHI,SAC,126,113,CHI,0
IND-DAL-2025-10-29,2025-10-29,DAL,IND,107,105,DAL,0
POR-UTA-2025-10-29,2025-10-29,UTA,POR,134,136,POR,0
NOP-DEN-2025-10-29,2025-10-29,DEN,NOP,122,88,DEN,0
LAL-MIN-2025-10-29,2025-10-29,MIN,LAL,115,116,LAL,0
MEM-PHO-2025-10-29,2025-10-29,PHO,MEM,113,114,MEM,0
ORL-CHO-2025-10-30,2025-10-30,CHO,ORL,107,123,ORL,0
WAS-OKC-2025-10-30,2025-10-30,OKC,WAS,127,108,OKC,0
GSW-MIL-2025-10-30,2025-10-30,MIL,GSW,120,110,MIL,0
MIA-SAS-2025-10-30,2025-10-30,SAS,MIA,107,101,SAS,0
ATL-IND-2025-10-31,2025-10-31,IND,ATL,108,128,ATL,0
BOS-PHI-2025-10-31,2025-10-31,PHI,BOS,108,109,BOS,0
TOR-CLE-2025-10-31,2025-10-31,CLE,TOR,101,112,TOR,0
NYK-CHI-2025-10-31,2025-10-31,CHI,NYK,135,125,CHI,0
LAL-MEM-2025-10-31,2025-10-31,MEM,LAL,112,117,LAL,0
DEN-POR-2025-10-31,2025-10-31,POR,DEN,109,107,POR,0
UTA-PHO-2025-10-31,2025-10-31,PHO,UTA,118,96,PHO,0
NOP-LAC-2025-10-31,2025-10-31,LAC,NOP,126,124,LAC,0
SAC-MIL-2025-11-01,2025-11-01,MIL,SAC,133,135,SAC,0
MIN-CHO-2025-11-01,2025-11-01,CHO,MIN,105,122,MIN,0
ORL-WAS-2025-11-01,2025-11-01,WAS,ORL,94,125,ORL,0
GSW-IND-2025-11-01,2025-11-01,IND,GSW,114,109,IND,0
HOU-BOS-2025-11-01,2025-11-01,BOS,HOU,101,128,HOU,0
DAL-DET-2025-11-01,2025-11-01,DET,DAL,122,110,DET,0
NOP-OKC-2025-11-02,2025-11-02,OKC,NOP,137,106,OKC,0
MEM-TOR-2025-11-02,2025-11-02,TOR,MEM,117,104,TOR,0
ATL-CLE-2025-11-02,2025-11-02,CLE,ATL,117,109,CLE,0
PHI-BRK-2025-11-02,2025-11-02,BRK,PHI,105,129,PHI,0
UTA-CHO-2025-11-02,2025-11-02,CHO,UTA,126,103,CHO,0
CHI-NYK-2025-11-02,2025-11-02,NYK,CHI,128,116,NYK,0
