matchup_id,game_date,home,away,playoffs,whos_favored,spread,total,moneyline_home,moneyline_away
HOU-OKC-2025-10-21,2025-10-21,OKC,HOU,0,home,6.5,225.5,,
GSW-LAL-2025-10-21,2025-10-21,LAL,GSW,0,away,2.5,227.5,,
BRK-CHO-2025-10-22,2025-10-22,CHO,BRK,0,home,5.5,228.5,,
CLE-NYK-2025-10-22,2025-10-22,NYK,CLE,0,away,1.5,229,,
MIA-ORL-2025-10-22,2025-10-22,ORL,MIA,0,home,8,215.5,,
PHI-BOS-2025-10-22,2025-10-22,BOS,PHI,0,home,5.5,230.5,,
TOR-ATL-2025-10-22,2025-10-22,ATL,TOR,0,home,5.5,238,,
NOP-MEM-2025-10-22,2025-10-22,MEM,NOP,0,home,4,236.5,,
DET-CHI-2025-10-22,2025-10-22,CHI,DET,0,away,3,236.5,,
WAS-MIL-2025-10-22,2025-10-22,MIL,WAS,0,home,10,228,,
LAC-UTA-2025-10-22,2025-10-22,UTA,LAC,0,away,9.5,225.5,,
SAS-DAL-2025-10-22,2025-10-22,DAL,SAS,0,home,3.5,224,,
SAC-PHO-2025-10-22,2025-10-22,PHO,SAC,0,home,3.5,228.5,,
MIN-POR-2025-10-22,2025-10-22,POR,MIN,0,away,4.5,222.5,,
OKC-IND-2025-10-23,2025-10-23,IND,OKC,0,away,7.5,231.5,,
DEN-GSW-2025-10-23,2025-10-23,GSW,DEN,0,home,1.5,233.5,,
MIL-TOR-2025-10-24,2025-10-24,TOR,MIL,0,home,2,235.5,,
ATL-ORL-2025-10-24,2025-10-24,ORL,ATL,0,home,5.5,235.5,,
BOS-NYK-2025-10-24,2025-10-24,NYK,BOS,0,home,3.5,231.5,,
CLE-BRK-2025-10-24,2025-10-24,BRK,CLE,0,away,11.5,230.5,,
MIA-MEM-2025-10-24,2025-10-24,MEM,MIA,0,home,3,232.5,,
SAS-NOP-2025-10-24,2025-10-24,NOP,SAS,0,away,4,233.5,,
DET-HOU-2025-10-24,2025-10-24,HOU,DET,0,home,6.5,226.5,,
WAS-DAL-2025-10-24,2025-10-24,DAL,WAS,0,home,9,228.5,,
MIN-LAL-2025-10-24,2025-10-24,LAL,MIN,0,away,1.5,226,,
GSW-POR-2025-10-24,2025-10-24,POR,GSW,0,away,2.5,228,,
UTA-SAC-2025-10-24,2025-10-24,SAC,UTA,0,home,5.5,235,,
PHO-LAC-2025-10-24,2025-10-24,LAC,PHO,0,home,10,223.5,,
CHI-ORL-2025-10-25,2025-10-25,ORL,CHI,0,home,6,233,,
OKC-ATL-2025-10-25,2025-10-25,ATL,OKC,0,away,8.5,237.5,,
CHO-PHI-2025-10-25,2025-10-25,PHI,CHO,0,home,4.5,237,,
IND-MEM-2025-10-25,2025-10-25,MEM,IND,0,home,2,240.5,,
PHO-DEN-2025-10-25,2025-10-25,DEN,PHO,0,home,13,233.5,,
BRK-SAS-2025-10-26,2025-10-26,SAS,BRK,0,home,10.5,227.5,,
BOS-DET-2025-10-26,2025-10-26,DET,BOS,0,home,2.5,227,,
MIL-CLE-2025-10-26,2025-10-26,CLE,MIL,0,home,6.5,234.5,,
NYK-MIA-2025-10-26,2025-10-26,MIA,NYK,0,away,3.5,230.5,,
CHO-WAS-2025-10-26,2025-10-26,WAS,CHO,0,home,1.5,240,,
IND-MIN-2025-10-26,2025-10-26,MIN,IND,0,home,12,228.5,,
TOR-DAL-2025-10-26,2025-10-26,DAL,TOR,0,away,1.5,231.5,,
LAL-SAC-2025-10-26,2025-10-26,SAC,LAL,0,home,3.5,224.5,,
POR-LAC-2025-10-26,2025-10-26,LAC,POR,0,home,8.5,225,,
CLE-DET-2025-10-27,2025-10-27,DET,CLE,0,away,2,231.5,,
ORL-PHI-2025-10-27,2025-10-27,PHI,ORL,0,away,6.5,227.5,,
TOR-SAS-2025-10-27,2025-10-27,SAS,TOR,0,home,4.5,232.5,,
BRK-HOU-2025-10-27,2025-10-27,HOU,BRK,0,home,15.5,225,,
ATL-CHI-2025-10-27,2025-10-27,CHI,ATL,0,away,2.5,244.5,,
BOS-NOP-2025-10-27,2025-10-27,NOP,BOS,0,away,4.5,231.5,,
OKC-DAL-2025-10-27,2025-10-27,DAL,OKC,0,away,9,225.5,,
PHO-UTA-2025-10-27,2025-10-27,UTA,PHO,0,home,1.5,230,,
DEN-MIN-2025-10-27,2025-10-27,MIN,DEN,0,away,6,229.5,,
MEM-GSW-2025-10-27,2025-10-27,GSW,MEM,0,home,8,240.5,,
POR-LAL-2025-10-27,2025-10-27,LAL,POR,0,away,3.5,227.5,,
PHI-WAS-2025-10-28,2025-10-28,WAS,PHI,0,away,4.5,239.5,,
CHO-MIA-2025-10-28,2025-10-28,MIA,CHO,0,home,4.5,240,,
SAC-OKC-2025-10-28,2025-10-28,OKC,SAC,0,home,9,227,,
NYK-MIL-2025-10-28,2025-10-28,MIL,NYK,0,away,2,230,,
LAC-GSW-2025-10-28,2025-10-28,GSW,LAC,0,away,1.5,224.5,,
HOU-TOR-2025-10-29,2025-10-29,TOR,HOU,0,away,5.5,233.5,,
CLE-BOS-2025-10-29,2025-10-29,BOS,CLE,0,away,3.5,233.5,,
ORL-DET-2025-10-29,2025-10-29,DET,ORL,0,away,1.5,227.5,,
ATL-BRK-2025-10-29,2025-10-29,BRK,ATL,0,away,8,239.5,,
SAC-CHI-2025-10-29,2025-10-29,CHI,SAC,0,home,4.5,238,,
IND-DAL-2025-10-29,2025-10-29,DAL,IND,0,home,6,229.5,,
POR-UTA-2025-10-29,2025-10-29,UTA,POR,0,away,3,235.5,,
NOP-DEN-2025-10-29,2025-10-29,DEN,NOP,0,home,11.5,238.5,,
LAL-MIN-2025-10-29,2025-10-29,MIN,LAL,0,home,8,224.5,,
MEM-PHO-2025-10-29,2025-10-29,PHO,MEM,0,away,2,242.5,,
ORL-CHO-2025-10-30,2025-10-30,CHO,ORL,0,away,3.5,238.5,,
WAS-OKC-2025-10-30,2025-10-30,OKC,WAS,0,home,15.5,231.5,,
GSW-MIL-2025-10-30,2025-10-30,MIL,GSW,0,away,8,228.5,,
MIA-SAS-2025-10-30,2025-10-30,SAS,MIA,0,home,5.5,228.5,,
ATL-IND-2025-10-31,2025-10-31,IND,ATL,0,away,2.5,232,,
BOS-PHI-2025-10-31,2025-10-31,PHI,BOS,0,away,1.5,234,,
TOR-CLE-2025-10-31,2025-10-31,CLE,TOR,0,home,4.5,236.5,,
NYK-CHI-2025-10-31,2025-10-31,CHI,NYK,0,away,5,233.5,,
LAL-MEM-2025-10-31,2025-10-31,MEM,LAL,0,away,2,238.5,,
DEN-POR-2025-10-31,2025-10-31,POR,DEN,0,away,5.5,240,,
UTA-PHO-2025-10-31,2025-10-31,PHO,UTA,0,home,3.5,238,,
NOP-LAC-2025-10-31,2025-10-31,LAC,NOP,0,home,11,223,,
SAC-MIL-2025-11-01,2025-11-01,MIL,SAC,0,home,6.5,233,,
MIN-CHO-2025-11-01,2025-11-01,CHO,MIN,0,away,4.5,234.5,,
ORL-WAS-2025-11-01,2025-11-01,WAS,ORL,0,away,9,234,,
GSW-IND-2025-11-01,2025-11-01,IND,GSW,0,away,10.5,230,,
HOU-BOS-2025-11-01,2025-11-01,BOS,HOU,0,away,4.5,226.5,,
DAL-DET-2025-11-01,2025-11-01,DET,DAL,0,home,7.5,227.5,,
NOP-OKC-2025-11-02,2025-11-02,OKC,NOP,0,home,13,228.5,,
MEM-TOR-2025-11-02,2025-11-02,TOR,MEM,0,home,4.5,238.5,,
ATL-CLE-2025-11-02,2025-11-02,CLE,ATL,0,home,6.5,229.5,,
PHI-BRK-2025-11-02,2025-11-02,BRK,PHI,0,away,4.5,233,,
UTA-CHO-2025-11-02,2025-11-02,CHO,UTA,0,away,1.5,232.5,,
CHI-NYK-2025-11-02,2025-11-02,NYK,CHI,0,home,7.5,235,,
SAS-PHO-2025-11-02,2025-11-02,PHO,SAS,0,away,5,227.5,,
MIA-LAL-2025-11-02,2025-11-02,LAL,MIA,0,home,5,232.5,,
MIN-BRK-2025-11-03,2025-11-03,BRK,MIN,0,away,10,226,,
MIL-IND-2025-11-03,2025-11-03,IND,MIL,0,away,6.5,235.5,,
UTA-BOS-2025-11-03,2025-11-03,BOS,UTA,0,home,10.5,233,,
WAS-NYK-2025-11-03,2025-11-03,NYK,WAS,0,home,13,234,,
DAL-HOU-2025-11-03,2025-11-03,HOU,DAL,0,home,12.5,225.5,,
DET-MEM-2025-11-03,2025-11-03,MEM,DET,0,away,4,236,,
SAC-DEN-2025-11-03,2025-11-03,DEN,SAC,0,home,11.5,237,,
LAL-POR-2025-11-03,2025-11-03,POR,LAL,0,home,9.5,228,,
MIA-LAC-2025-11-03,2025-11-03,LAC,MIA,0,home,7.5,227.5,,
MIL-TOR-2025-11-04,2025-11-04,TOR,MIL,0,home,2.5,237,,
ORL-ATL-2025-11-04,2025-11-04,ATL,ORL,0,away,3.5,229.5,,
PHI-CHI-2025-11-04,2025-11-04,CHI,PHI,0,home,2,240.5,,
CHO-NOP-2025-11-04,2025-11-04,NOP,CHO,0,home,3,229,,
PHO-GSW-2025-11-04,2025-11-04,GSW,PHO,0,home,10.5,235.5,,
OKC-LAC-2025-11-04,2025-11-04,LAC,OKC,0,away,8.5,219.5,,
PHI-CLE-2025-11-05,2025-11-05,CLE,PHI,0,home,12.5,235,,
UTA-DET-2025-11-05,2025-11-05,DET,UTA,0,home,9.5,232.5,,
BRK-IND-2025-11-05,2025-11-05,IND,BRK,0,home,6.5,233,,
MIN-NYK-2025-11-05,2025-11-05,NYK,MIN,0,home,3.5,228.5,,
WAS-BOS-2025-11-05,2025-11-05,BOS,WAS,0,home,13,232.5,,
HOU-MEM-2025-11-05,2025-11-05,MEM,HOU,0,away,7.5,232.5,,
NOP-DAL-2025-11-05,2025-11-05,DAL,NOP,0,home,8,226,,
MIA-DEN-2025-11-05,2025-11-05,DEN,MIA,0,home,9,241.5,,
SAS-LAL-2025-11-05,2025-11-05,LAL,SAS,0,away,1.5,227.5,,
OKC-POR-2025-11-05,2025-11-05,POR,OKC,0,away,3.5,231.5,,
GSW-SAC-2025-11-05,2025-11-05,SAC,GSW,0,home,2.5,225,,
LAC-PHO-2025-11-06,2025-11-06,PHO,LAC,0,home,2.5,224.5,,
BOS-ORL-2025-11-07,2025-11-07,ORL,BOS,0,home,3.5,226.5,,
CLE-WAS-2025-11-07,2025-11-07,WAS,CLE,0,away,13.5,241.5,,
TOR-ATL-2025-11-07,2025-11-07,ATL,TOR,0,home,2.5,235,,
DET-BRK-2025-11-07,2025-11-07,BRK,DET,0,away,10.5,227,,
HOU-SAS-2025-11-07,2025-11-07,SAS,HOU,0,away,4,224.5,,
CHO-MIA-2025-11-07,2025-11-07,MIA,CHO,0,home,7,235.5,,
DAL-MEM-2025-11-07,2025-11-07,MEM,DAL,0,home,4,232.5,,
CHI-MIL-2025-11-07,2025-11-07,MIL,CHI,0,home,4.5,240,,
UTA-MIN-2025-11-07,2025-11-07,MIN,UTA,0,home,12.5,233,,
GSW-DEN-2025-11-07,2025-11-07,DEN,GSW,0,home,9.5,230,,
OKC-SAC-2025-11-07,2025-11-07,SAC,OKC,0,away,11.5,234.5,,
DAL-WAS-2025-11-08,2025-11-08,WAS,DAL,0,away,4.5,233.5,,
TOR-PHI-2025-11-08,2025-11-08,PHI,TOR,0,home,5,237,,
LAL-ATL-2025-11-08,2025-11-08,ATL,LAL,0,away,5.5,228.5,,
CHI-CLE-2025-11-08,2025-11-08,CLE,CHI,0,home,8.5,239,,
POR-MIA-2025-11-08,2025-11-08,MIA,POR,0,away,3.5,242,,
NOP-SAS-2025-11-08,2025-11-08,SAS,NOP,0,home,11,224.5,,
IND-DEN-2025-11-08,2025-11-08,DEN,IND,0,home,9.5,234.5,,
PHO-LAC-2025-11-08,2025-11-08,LAC,PHO,0,home,4.5,226.5,,
HOU-MIL-2025-11-09,2025-11-09,MIL,HOU,0,away,4,232.5,,
BRK-NYK-2025-11-09,2025-11-09,NYK,BRK,0,home,15.5,226.5,,
BOS-ORL-2025-11-09,2025-11-09,ORL,BOS,0,home,3.5,227.5,,
OKC-MEM-2025-11-09,2025-11-09,MEM,OKC,0,away,10.5,230.5,,
DET-PHI-2025-11-09,2025-11-09,PHI,DET,0,away,4.5,234.5,,
