arm,game_id,game_date,away,home,cutoff,language_model,home_win_prob,predicted_winner,actual_winner,correct,stake,selected_decimal_odds,net_pnl,tool_calls,tool_call_count,gate_passed,gate_failed,elapsed_seconds,input_tokens,output_tokens,system_prompt_sha256,narrative
A,CHO-BOS-2026-04-07,2026-04-07,CHO,BOS,2026-04-05,none,0.5559,BOS,BOS,1,100.0,1.5395645124767854,53.95645125,[],0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,
A,ATL-CLE-2026-04-08,2026-04-08,ATL,CLE,2026-04-05,none,0.4669,ATL,CLE,0,100.0,2.487057668129615,-100,[],0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,
A,IND-BRK-2026-04-09,2026-04-09,IND,BRK,2026-04-05,none,0.6451,BRK,IND,0,100.0,2.3216361868264386,-100,[],0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,
A,ORL-CHI-2026-04-10,2026-04-10,ORL,CHI,2026-04-05,none,0.3416,ORL,ORL,1,100.0,1.0944003516016714,9.44003516,[],0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,
A,ATL-MIA-2026-04-12,2026-04-12,ATL,MIA,2026-04-05,none,0.2362,ATL,MIA,0,100.0,4.253041001352346,-100,[],0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,
A,MIA-CHO-2026-04-14,2026-04-14,MIA,CHO,2026-04-05,none,0.8889,CHO,CHO,1,100.0,1.419985256803251,41.99852568,[],0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,
A,GSW-LAC-2026-04-15,2026-04-15,GSW,LAC,2026-04-05,none,0.7708,LAC,GSW,0,100.0,1.4765224814319189,-100,[],0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,
A,CHO-ORL-2026-04-17,2026-04-17,CHO,ORL,2026-04-05,none,0.1737,CHO,ORL,0,100.0,1.688418440706501,-100,[],0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,
A,ATL-NYK-2026-04-18,2026-04-18,ATL,NYK,2026-04-05,none,0.6414,NYK,NYK,1,100.0,1.447485891745253,44.74858917,[],0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,
A,MIN-DEN-2026-04-20,2026-04-20,MIN,DEN,2026-04-05,none,0.4594,MIN,MIN,1,100.0,3.123948630907922,212.3948631,[],0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,
B,CHO-BOS-2026-04-07,2026-04-07,CHO,BOS,2026-04-05,gemma4:latest via Ollama,0.68,BOS,BOS,1,100.0,1.5395645124767854,53.95645125,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries""]",5.0,5.0,0.0,42.4,16171.0,2226.0,7ca5185ee48734db6d943f4311aced73e7d7a42dfd6116a64b2042fd88a942ab,"The Boston Celtics enter this matchup as heavy favorites, supported by their elite 61-21 record and league-leading offensive rating. Despite Charlotte's recent rolling point differential suggesting strong play, the massive disparity in overall season records and ratings heavily favors BOS. The historical head-to-head dominance of the Celtics further solidifies them as the clear favorite to win on home court."
B,ATL-CLE-2026-04-08,2026-04-08,ATL,CLE,2026-04-05,gemma4:latest via Ollama,0.4,ATL,CLE,0,100.0,2.487057668129615,-100,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries""]",5.0,5.0,0.0,46.2,18262.0,2193.0,7ca5185ee48734db6d943f4311aced73e7d7a42dfd6116a64b2042fd88a942ab,"Despite being the home team, Cleveland faces significant headwinds due to multiple key injuries, including Evan Mobley and Jarrett Allen. Atlanta enters this contest on an extremely dominant wave of form, boasting a rolling point differential of +12.5 compared to Cleveland's modest +1.8. This massive disparity in current performance, combined with CLE's roster limitations, suggests that the Hawks are heavily favored to win."
B,IND-BRK-2026-04-09,2026-04-09,IND,BRK,2026-04-05,gemma4:latest via Ollama,0.3,IND,IND,1,100.0,1.648072857790548,64.80728578,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries""]",5.0,5.0,0.0,37.6,17612.0,1911.0,7ca5185ee48734db6d943f4311aced73e7d7a42dfd6116a64b2042fd88a942ab,"The Indiana Pacers enter this matchup with a substantial advantage based on recent form and overall team metrics. Their rolling point differential is vastly superior to the Nets', who are struggling significantly in their last ten games. Furthermore, Brooklyn's absence of key players like Michael Porter Jr. severely limits their offensive firepower, giving Indiana a strong edge despite both teams having some injuries."
B,ORL-CHI-2026-04-10,2026-04-10,ORL,CHI,2026-04-05,gemma4:latest via Ollama,0.48,ORL,ORL,1,100.0,1.0944003516016714,9.44003516,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries""]",5.0,5.0,0.0,34.8,18333.0,1745.0,7ca5185ee48734db6d943f4311aced73e7d7a42dfd6116a64b2042fd88a942ab,"This is expected to be a highly competitive, low-scoring affair given that both teams are struggling with significant injuries. While Chicago has the home court advantage, their back-to-back schedule and poor rolling form (-11.5) give Orlando a slight edge. ORL's better overall record and superior recent point differential suggest they will be slightly more potent on the road."
B,ATL-MIA-2026-04-12,2026-04-12,ATL,MIA,2026-04-05,gemma4:latest via Ollama,0.32,ATL,MIA,0,100.0,4.253041001352346,-100,"[""retrieve_matchup_context"", ""retrieve_team_form"", ""retrieve_team_form"", ""retrieve_injuries"", ""retrieve_injuries""]",5.0,5.0,0.0,46.7,16934.0,1695.0,7ca5185ee48734db6d943f4311aced73e7d7a42dfd6116a64b2042fd88a942ab,"Atlanta enters this matchup in superior form, boasting an 8-2 record and a substantial positive point differential over their last ten games. Miami's recent struggles are evident in their poor 3-7 record and negative rolling average. Furthermore, the absence of star player Norman Powell significantly weakens the Heat's offensive depth. These factors heavily favor Atlanta, who are expected to capitalize on Miami's current slump."
