arm,game_id,game_date,away,home,cutoff,pick,actual,correct,home_win_prob,selected_decimal_odds,stake,net_pnl
A,GSW-LAL-2025-10-21,2025-10-21,GSW,LAL,2025-10-20,LAL,GSW,0,0.598598,2.2460313670886856,100.0,-100.0
B,GSW-LAL-2025-10-21,2025-10-21,GSW,LAL,2025-10-20,GSW,GSW,1,0.48,1.688418440706501,100.0,68.84
C,GSW-LAL-2025-10-21,2025-10-21,GSW,LAL,2025-10-20,LAL,GSW,0,0.6,2.2460313670886856,100.0,-100.0
A,HOU-OKC-2025-10-21,2025-10-21,HOU,OKC,2025-10-20,OKC,OKC,1,0.520823,1.419985256803251,100.0,42.0
B,HOU-OKC-2025-10-21,2025-10-21,HOU,OKC,2025-10-20,OKC,OKC,1,0.63,1.419985256803251,100.0,42.0
C,HOU-OKC-2025-10-21,2025-10-21,HOU,OKC,2025-10-20,OKC,OKC,1,0.5208,1.419985256803251,100.0,42.0
A,BRK-CHO-2025-10-22,2025-10-22,BRK,CHO,2025-10-21,BRK,CHO,0,0.415731,2.775981354600629,100.0,-100.0
B,BRK-CHO-2025-10-22,2025-10-22,BRK,CHO,2025-10-21,BRK,CHO,0,0.48,2.775981354600629,100.0,-100.0
C,BRK-CHO-2025-10-22,2025-10-22,BRK,CHO,2025-10-21,BRK,CHO,0,0.416,2.775981354600629,100.0,-100.0
A,CLE-NYK-2025-10-22,2025-10-22,CLE,NYK,2025-10-21,NYK,NYK,1,0.619896,2.1075348929637956,100.0,110.75
B,CLE-NYK-2025-10-22,2025-10-22,CLE,NYK,2025-10-21,CLE,NYK,0,0.48,1.776161052107465,100.0,-100.0
C,CLE-NYK-2025-10-22,2025-10-22,CLE,NYK,2025-10-21,NYK,NYK,1,0.62,2.1075348929637956,100.0,110.75
A,DET-CHI-2025-10-22,2025-10-22,DET,CHI,2025-10-21,CHI,CHI,1,0.509272,2.3216361868264386,100.0,132.16
B,DET-CHI-2025-10-22,2025-10-22,DET,CHI,2025-10-21,DET,CHI,0,0.48,1.648072857790548,100.0,-100.0
C,DET-CHI-2025-10-22,2025-10-22,DET,CHI,2025-10-21,DET,CHI,0,0.4907,1.648072857790548,100.0,-100.0
A,LAC-UTA-2025-10-22,2025-10-22,LAC,UTA,2025-10-21,UTA,UTA,1,0.54323,3.8755010353963106,100.0,287.55
B,LAC-UTA-2025-10-22,2025-10-22,LAC,UTA,2025-10-21,LAC,UTA,0,0.48,1.2829249092441042,100.0,-100.0
C,LAC-UTA-2025-10-22,2025-10-22,LAC,UTA,2025-10-21,LAC,UTA,0,0.4568,1.2829249092441042,100.0,-100.0
A,MIA-ORL-2025-10-22,2025-10-22,MIA,ORL,2025-10-21,ORL,ORL,1,0.634807,1.3458934441795845,100.0,34.59
B,MIA-ORL-2025-10-22,2025-10-22,MIA,ORL,2025-10-21,ORL,ORL,1,0.53,1.3458934441795845,100.0,34.59
C,MIA-ORL-2025-10-22,2025-10-22,MIA,ORL,2025-10-21,ORL,ORL,1,0.6348,1.3458934441795845,100.0,34.59
A,MIN-POR-2025-10-22,2025-10-22,MIN,POR,2025-10-21,POR,MIN,0,0.595785,2.577547629742829,100.0,-100.0
B,MIN-POR-2025-10-22,2025-10-22,MIN,POR,2025-10-21,MIN,MIN,1,0.48,1.5395645124767854,100.0,53.96
